name,category,price,measure,madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,walk_time,url
千歳台ヒミコセラン 2799万円（2LDK）,中古マンション,2799,58.42,2LDK,即引渡可,1982年5月,4,RC4階建,東京都世田谷区千歳台３,小田急線,祖師ヶ谷大蔵,18,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71635995/
代田砦ハイム 3980万円（3LDK）,中古マンション,3980,70.98,3LDK,相談,1970年9月,2,RC6階建,東京都世田谷区代田１,小田急線,世田谷代田,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_98161641/
弦巻パビリオン 3980万円（2LDK）,中古マンション,3980,48.78,2LDK,相談,1970年3月,5,RC7階建,東京都世田谷区弦巻５,東急田園都市線,桜新町,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71540294/
上馬ハイホーム 3980万円（2LDK）,中古マンション,3980,54.86,2LDK,即引渡可,1969年5月,12,SRC14階建,東京都世田谷区上馬２-15-1,東急田園都市線,駒沢大学,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71524108/
朝日ラ・パリオ等々力台 3980万円（1LDK）,中古マンション,3980,39.38,1LDK,相談,1997年1月,2,SRC9階地下1階建,東京都世田谷区等々力３,東急大井町線,等々力,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71685313/
玉川サンケイハウス南棟 3980万円（3LDK）,中古マンション,3980,64.03,3LDK,即引渡可,1968年4月,4,RC4階建,東京都世田谷区上用賀１-1-1,東急田園都市線,用賀,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70795977/
上馬ハイホーム 3980万円（2LDK）,中古マンション,3980,54.86,2LDK,即引渡可,1969年5月,12,SRC14階建,東京都世田谷区上馬２,東急田園都市線,駒沢大学,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71661245/
朝日ラ・パリオ等々力台 3980万円（1LDK）,中古マンション,3980,39.38,1LDK,即引渡可,1997年1月,2,SRC9階建,東京都世田谷区等々力３-21-19,東急大井町線,等々力,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71669506/
馬事公苑前ハイム１号棟 3980万円（3LDK）,中古マンション,3980,86.11,3LDK,相談,1968年9月,3,RC11階建,東京都世田谷区上用賀２,東急田園都市線,用賀,18,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71691505/
弦巻パビリオン 3980万円（2LDK）,中古マンション,3980,48.78,2LDK,相談,1970年3月,5,RC7階建,東京都世田谷区弦巻５,東急田園都市線,桜新町,12,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71605975/
