name,category,price,measure,madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,walk_time,url,latitude,longitude
上北沢第２コーポラス 3180万円（2LDK）,中古マンション,3180,50.22,2LDK,即引渡可,1971年1月,3.0,鉄骨8階建,東京都世田谷区上北沢４-30-10,京王線,八幡山,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71420170/,35.6708204,139.6185538
秀和奥沢レジデンス 3180万円（ワンルーム）,中古マンション,3180,39.43,ワンルーム,即引渡可,1968年12月,5.0,RC7階建,東京都世田谷区奥沢１,東急目黒線,奥沢,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71577442/,35.60091600000001,139.6771
グリーンサイド 3190万円（1DK）,中古マンション,3190,38.02,1DK,相談,1965年12月,3.0,RC6階建,東京都世田谷区三宿１,東急田園都市線,三軒茶屋,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71626727/,35.6489207,139.6751861
京王瀬田マンション 3190万円（2DK）,中古マンション,3190,40.04,2DK,即引渡可,1978年6月,1.0,RC6階建,東京都世田谷区瀬田２,東急田園都市線,用賀,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71649201/,35.6188577,139.6318202
◇南烏山住宅◇ 3280万円（3LDK）,中古マンション,3280,59.22,3LDK,即引渡可,1971年1月,2.0,SRC7階建,東京都世田谷区南烏山２,京王線,芦花公園,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71458079/,35.6682212,139.6063258
烏山南住宅 3280万円（3LDK）,中古マンション,3280,59.22,3LDK,即引渡可,1971年1月,2.0,SRC7階建,東京都世田谷区南烏山２-8-2,京王線,芦花公園,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71354502/,35.6669933,139.6069232
桜新町ヒミコマンション 3330万円（2LDK）,中古マンション,3330,46.43,2LDK,相談,1978年7月,1.0,RC3階建,東京都世田谷区弦巻４,東急田園都市線,桜新町,9,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70785278/,35.6347517,139.6413835
ユニティ上馬 3333万円（1LDK）,中古マンション,3333,39.82,1LDK,相談,1981年10月,2.0,RC7階建一部SRC,東京都世田谷区上馬５,東急世田谷線,松陰神社前,5,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71266046/,35.6405918,139.6573257
ニックハイム砧 3398万円（2LDK）,中古マンション,3398,52.47,2LDK,相談,1973年9月,6.0,RC8階建,東京都世田谷区砧１,小田急線,祖師ヶ谷大蔵,18,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71266742/,35.6369827,139.6184342
メゾン上野毛 3399万円（2LDK）,中古マンション,3399,54.85,2LDK,即引渡可,1969年4月,3.0,SRC8階建,東京都世田谷区上野毛１,東急大井町線,上野毛,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70060466/,35.6116105,139.6394707
ジュネス等々力 3490万円（2LDK）,中古マンション,3490,51.57,2LDK,相談,1979年3月,1.0,RC5階建,東京都世田谷区等々力１-３１－１２,東急大井町線,尾山台,7,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71224307/,35.6040675,139.6504501
フジタ野沢マンション 3498万円（2LDK）,中古マンション,3498,46.48,2LDK,相談,1980年12月,1.0,RC5階建,東京都世田谷区野沢３,東急東横線,学芸大学,18,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71690028/,35.630562,139.6751861
フジタ野沢マンション 3498万円（2LDK）,中古マンション,3498,46.48,2LDK,相談,1980年12月,1.0,RC5階建,東京都世田谷区野沢３,東急田園都市線,駒沢大学,14,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70949914/,35.630562,139.6751861
世田谷第二オリンピックマンション 3298万円（2DK）,中古マンション,3298,42.33,2DK,即引渡可,1981年4月,1.0,RC4階建,東京都世田谷区世田谷４,東急世田谷線,世田谷,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70697671/,35.6454224,139.6522237
京王瀬田マンション 3499万円（1LDK）,中古マンション,3499,44.76,1LDK,即引渡可,1978年8月,5.0,RC6階建,東京都世田谷区瀬田２,東急田園都市線,用賀,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71115799/,35.6188577,139.6318202
眺望良好最上階の角部屋　最新価格でご紹介！　　　　　　　　　　～マンション　フォア～ 3580万円（1LDK）,中古マンション,3580,43.78,1LDK,即引渡可,1995年10月,6.0,RC6階建,東京都世田谷区新町１,東急田園都市線,桜新町,10,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71689985/,35.6271882,139.6496729
上北沢ヒミコマンション 3580万円（2LDK+S（納戸））,中古マンション,3580,56.16,2LDK+S（納戸）,相談,1979年4月,3.0,RC4階建,東京都世田谷区上北沢５-40-12,京王線,八幡山,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71654717/,35.6748223,139.6147497
ハイツ太子堂 3580万円（2LDK）,中古マンション,3580,61.65,2LDK,相談,1971年8月,4.0,RC8階建,東京都世田谷区太子堂４,東急田園都市線,三軒茶屋,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71626757/,35.6446958,139.667531
サンケイグランドハイツ 3580万円（1LDK）,中古マンション,3580,48.57,1LDK,即引渡可,1967年6月,5.0,RC11階建,東京都世田谷区池尻３,東急田園都市線,池尻大橋,1,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71434791/,35.6501422,139.679652
ハヤマビル 3599万円（2LDK）,中古マンション,3599,66.79,2LDK,即引渡可,1968年12月,9.0,RC10階建,東京都世田谷区代田４-1-18,小田急線,世田谷代田,2,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70996775/,35.6583699,139.6596377
ハヤマビル 3599万円（2DK+S（納戸））,中古マンション,3599,66.79,2DK+S（納戸）,即引渡可,1968年12月,9.0,SRC10階建,東京都世田谷区代田４,小田急線,世田谷代田,2,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71661242/,35.6592622,139.6566879
コスモ二子玉川　2階部分　弊社委任物件 3680万円（2LDK）,中古マンション,3680,66.51,2LDK,相談,1986年5月,2.0,RC5階地下1階建,東京都世田谷区鎌田２,二子玉川駅　乗車7分,砧南中学校前,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71525541/,35.6186757,139.6114238
啓明宮前橋マンション 3690万円（2LDK）,中古マンション,3690,42.12,2LDK,即引渡可,1974年8月,5.0,PC8階建,東京都世田谷区代田３,小田急線,世田谷代田,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71119480/,35.6546742,139.6566879
ハイツ太子堂 3580万円（2LDK）,中古マンション,3580,61.65,2LDK,相談,1971年8月,4.0,RC8階建,東京都世田谷区太子堂４-17-10,東急田園都市線,三軒茶屋,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71389322/,35.645794,139.6695045
