区分,名称,都道府県,市区群,住所,0歳定員,1歳定員,2歳定員,3歳定員,4歳定員,5歳定員,定員,受入年齢,対象年齢,開所時間,閉所時間,延長保育時間（開始）,延長保育時間（終了）,latitude,longitude,latlng,nearlest_station,walk_time
認可保育園,ベネッセ桜新町,東京都,世田谷区（69.9％）,東京都世田谷区桜新町2-12-4,6,10,11,12,12.1,12.2,63,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6328881,139.6430837,"35.6328881,139.6430837",桜新町,5
認可保育園,わらべうた桜新町,東京都,世田谷区（69.9％）,東京都世田谷区桜新町1-1-6 桜新町1-32-1,7,14,14,15,15,15,80,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6274763,139.6445516,"35.6274763,139.6445516",桜新町,9
認可保育園,ポピンズナーサリー スクール世田谷中町,東京都,世田谷区（69.9％）,東京都世田谷区中町5-9-9 コミュニティプラザ1・2階,6,10,11,11,11,11,60,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6213752,139.6438291,"35.6213752,139.6438291",上野毛,18
認可保育園,馬事公苑ひかり,東京都,世田谷区（69.9％）,東京都世田谷区上用賀4-16-14,9,15,18,26,26,26,120,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6360577,139.6308241,"35.6360577,139.6308241",用賀,17
認可保育園,用賀みこころ,東京都,世田谷区（69.9％）,東京都世田谷区用賀3-6-3 グレイプス用賀1階,6,10,11,11,11,11,60,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6300495,139.6372373,"35.6300495,139.6372373",用賀,8
認可保育園,ニチイキッズ 深沢坂上,東京都,世田谷区（69.9％）,東京都世田谷区深沢5-23-15,6,8,10,12,12,12,60,57日,,7:15:00,18:15:00,18:15:00,19:15:00,35.6185848,139.6518855,"35.6185848,139.6518855",等々力,16
認可保育園,Cha Cha Children Todoroki※12,東京都,世田谷区（69.9％）,東京都世田谷区等々力7-7-9,9,15,18,25,26,26,119,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6116056,139.6527419,"35.6116056,139.6527419",尾山台,9
認可保育園,世田谷仁慈保幼園,東京都,世田谷区（69.9％）,東京都世田谷区玉堤2-13-11,12,15,18,20,20,20,105,57日,,7:15:00,18:15:00,18:15:00,19:15:00,35.6001958,139.6464586,"35.6001958,139.6464586",等々力,15
認可保育園,キッド・ステイ 世田谷南※13,東京都,世田谷区（69.9％）,東京都世田谷区玉川田園調布2-4-14,9,15,18,18,18,18,96,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6002888,139.668129,"35.6002888,139.668129",田園調布,9
認可保育園,わらべうた等々力 ※14,東京都,世田谷区（69.9％）,東京都世田谷区等々力3-27-15 パークハイム等々力三丁目壱番館,6,14,15,,,,35,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6102304,139.650749,"35.6102304,139.650749",等々力,7
認可保育園,スマイルキッズ 桜新町※15,東京都,世田谷区（69.9％）,東京都世田谷区1桜新町2-6-4 2桜新町2-9-6,15,15,15,15,16,16,92,57日,,7:15:00,18:15:00,18:15:00,19:15:00,35.6329568,139.6442727,"35.6329568,139.6442727",桜新町,4
認可保育園,グリーンホーム東玉川,東京都,世田谷区（69.9％）,東京都世田谷区東玉川1-21-13,10,10,10,10,10,10,60,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.5963832,139.6779542,"35.5963832,139.6779542",雪が谷大塚,11
認可保育園,尾山台みどり,東京都,世田谷区（69.9％）,東京都世田谷区尾山台3-29-2,9,12,12,15,16,16,80,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6057705,139.6574037,"35.6057705,139.6574037",九品仏,6
認可保育園,上用賀青い空,東京都,世田谷区（69.9％）,東京都世田谷区上用賀6-8-17,9,12,12,12,12,12,69,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.634975,139.6255294,"35.634975,139.6255294",千歳船橋,21
認可保育園,用賀ルンビニ,東京都,世田谷区（69.9％）,東京都世田谷区用賀4-14-22,6,9,15,15,15,15,75,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6287097,139.6348913,"35.6287097,139.6348913",用賀,6
認可保育園,コンビプラザ等々力,東京都,世田谷区（69.9％）,東京都世田谷区等々力2-32-16 ヴァレーサイドトドロキ2階,6,7,7,7,7,7,41,57日,,7:30:00,18:30:00,18:30:00,20:30:00,35.6080326,139.6479591,"35.6080326,139.6479591",等々力,2
認可保育園,空の鳥,東京都,世田谷区（69.9％）,東京都世田谷区野毛1-19-13,9,18,18,18,18,18,99,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6053748,139.643898,"35.6053748,139.643898",等々力,9
認可保育園,RISSHO KID'S きらり 玉川※16,東京都,世田谷区（69.9％）,東京都世田谷区玉川4-11-2,6,7,7,,,,20,57日,,7:15:00,18:15:00,18:15:00,19:15:00,35.616901,139.625431,"35.616901,139.625431",二子玉川,11
認可保育園,駒沢わこう※17,東京都,世田谷区（69.9％）,東京都世田谷区駒沢5-2-7,12,15,17,24,24,24,116,57日,,7:15:00,18:15:00,18:15:00,20:15:00,35.6244953,139.6589799,"35.6244953,139.6589799",駒沢大学,19
